CVE_PRESUPUESTAL,DOM_CALLE,REF_TELEFONO,REF_CP,REF_COLONIA_FRACC,CVE_NIVEL_ATENCION,CVE_CLUES,REF_UNIDAD_MEDICA,CVE_LOCALIZACION,CVE_TIPO_INMUEBLE,CVE_SERVICIO,CVE_UNIDAD_PRESUP,IND_MF,CVE_DELEGACION,CVE_PREI,CVE_NUMERO_ECONOMICO,CVE_LOCALIDAD,CVE_MUNICIPIO,CVE_ESTADO,REF_FRANJA_HORARIA,FEC_BAJA,IND_HORARIO_VERANO,CVE_PAIS,REF_ESTADO_REG,DES_USER_CREA_REG,STP_CREA_REG,DES_USER_MODIFICA_REG,STP_MODIFICA_REG,fh_proceso
CVE_PRESUPUESTAL,DOM_CALLE,REF_TELEFONO,REF_CP,REF_COLONIA_FRACC,CVE_NIVEL_ATENCION,CVE_CLUESWWWWWWWWW,REF_UNIDAD_MEDICA,CVE_LOCALIZACION,CVE_TIPO_INMUEBLE,CVE_SERVICIO,CVE_UNIDAD_PRESUP,IND_MF,CVE_DELEGACION,CVE_PREI,CVE_NUMERO_ECONOMICO,CVE_LOCALIDAD,CVE_MUNICIPIO,CVE_ESTADO,REF_FRANJA_HORARIA,FEC_BAJA,IND_HORARIO_VERANO,CVE_PAIS,REF_ESTADO_REG,DES_USER_CREA_REG,STP_CREA_REG,DES_USER_MODIFICA_REG,STP_MODIFICA_REG,2021-01-04 20:48:22.880292
3301274P2500,"","","","",0,3301274P2500WWWWWW,CIEFD MERIDA,1,27,4P,2500,0,33,0,0,1,50,31,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:48:22.880353
14A6424C2560,"","","","",0,14A6424C2560WWWWWW,U.I.B.  OCCIDENTE,A6,42,4C,2560,0,14,0,0,1,39,14,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:48:22.880362
1803014C2560,"","","","",0,1803014C2560WWWWWW,U.I.B.  T.HERB,3,1,4C,2560,0,18,0,0,1,28,17,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:48:22.880369
2001084C2560,"","","","",0,2001084C2560WWWWWW,U.I.B   NORESTE,1,8,4C,2560,0,20,0,0,1,39,19,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:48:22.880374
2201154P2500,"","","","",0,2201154P2500WWWWWW,CIEFD   PUEBLA,1,15,4P,2500,0,22,0,0,11,207,21,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:48:22.880380
36A1414P2500,"","","","",0,36A1414P2500WWWWWW,CIEFD  LA RAZA,A1,41,4P,2500,0,39,0,0,1,2,9,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:48:22.880387
12004012151,Prolongación Gral. Ignacio Zaragoza  No. 905  Ejido Jesús Maria C.P 20908  Jesús María  Municipio de Jesús María  Estado de Aguascalientes,"",20908,Ejido Jesús Maria,2,ASIMS000161WWWWWWW,HGZ 3 Jesús María,1,4,1,2151,0,1,10103,"",1,5,1,"","",0,133,A,CSI_Beta - CI,17:45.0,CSI_Beta - CI,17:45.0,2021-01-04 20:48:22.880393
010113UA2110,AV. DE LA CONVENCI�N NORTE ESQUINA CON PETR�LEOS MEXICANOS S/N GREMIAL 20270 AGUASCALIENTES,449-9145051,20030,"",2,ASIMS000045WWWWWWW,UMAA S/N Aguascalientes,1,13,25,2110,1,1,10802,0,1,1,1,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:48:22.880399
10106252110,BLVD. JOS� MAR�A CH�VEZ NO. 1202 COL. FRACCIONAMIENTO LINDAVISTA C.P. 20270 AGUASCALIENTES AGUASCALIENTES,"",20270,"",1,ASIMS000033WWWWWWW,UMF 2 AGUASCALIENTES 2,1,6,25,2110,1,1,12401,0,1,1,1,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:48:22.880405
