CVE_PRESUPUESTAL,DOM_CALLE,REF_TELEFONO,REF_CP,REF_COLONIA_FRACC,CVE_NIVEL_ATENCION,CVE_CLUES,REF_UNIDAD_MEDICA,CVE_LOCALIZACION,CVE_TIPO_INMUEBLE,CVE_SERVICIO,CVE_UNIDAD_PRESUP,IND_MF,CVE_DELEGACION,CVE_PREI,CVE_NUMERO_ECONOMICO,CVE_LOCALIDAD,CVE_MUNICIPIO,CVE_ESTADO,REF_FRANJA_HORARIA,FEC_BAJA,IND_HORARIO_VERANO,CVE_PAIS,REF_ESTADO_REG,DES_USER_CREA_REG,STP_CREA_REG,DES_USER_MODIFICA_REG,STP_MODIFICA_REG,fh_proceso
CVE_PRESUPUESTAL,dom_calle,REF_TELEFONO,REF_CP,ref_colonia_fracc,CVE_NIVEL_ATENCION,CVE_CLUES,ref_unidad_medica,CVE_LOCALIZACION,CVE_TIPO_INMUEBLE,CVE_SERVICIO,CVE_UNIDAD_PRESUP,IND_MF,CVE_DELEGACION,CVE_PREI,CVE_NUMERO_ECONOMICO,CVE_LOCALIDAD,CVE_MUNICIPIO,CVE_ESTADO,REF_FRANJA_HORARIA,FEC_BAJA,IND_HORARIO_VERANO,CVE_PAIS,REF_ESTADO_REG,DES_USER_CREA_REG,STP_CREA_REG,DES_USER_MODIFICA_REG,STP_MODIFICA_REG,2021-01-04 20:53:35.954766
3301274P2500,"","","","",0,3301274P2500,ciefd merida,1,27,4P,2500,0,33,0,0,1,50,31,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:53:35.954828
14A6424C2560,"","","","",0,14A6424C2560,u.i.b.  occidente,A6,42,4C,2560,0,14,0,0,1,39,14,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:53:35.954837
1803014C2560,"","","","",0,1803014C2560,u.i.b.  t.herb,3,1,4C,2560,0,18,0,0,1,28,17,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:53:35.954843
2001084C2560,"","","","",0,2001084C2560,u.i.b   noreste,1,8,4C,2560,0,20,0,0,1,39,19,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:53:35.954849
2201154P2500,"","","","",0,2201154P2500,ciefd   puebla,1,15,4P,2500,0,22,0,0,11,207,21,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:53:35.954855
36A1414P2500,"","","","",0,36A1414P2500,ciefd  la raza,A1,41,4P,2500,0,39,0,0,1,2,9,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:53:35.954861
12004012151,prolongación gral. ignacio zaragoza  no. 905  ejido jesús maria c.p 20908  jesús maría  municipio de jesús maría  estado de aguascalientes,"",20908,ejido jesús maria,2,ASIMS000161,hgz 3 jesús maría,1,4,1,2151,0,1,10103,"",1,5,1,"","",0,133,A,CSI_Beta - CI,17:45.0,CSI_Beta - CI,17:45.0,2021-01-04 20:53:35.954867
010113UA2110,av. de la convenci�n norte esquina con petr�leos mexicanos s/n gremial 20270 aguascalientes,449-9145051,20030,"",2,ASIMS000045,umaa s/n aguascalientes,1,13,25,2110,1,1,10802,0,1,1,1,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:53:35.954888
10106252110,blvd. jos� mar�a ch�vez no. 1202 col. fraccionamiento lindavista c.p. 20270 aguascalientes aguascalientes,"",20270,"",1,ASIMS000033,umf 2 aguascalientes 2,1,6,25,2110,1,1,12401,0,1,1,1,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 20:53:35.954894
